"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 15 01:08:51 UTC 2026","Mon Jun 15 01:09:46 UTC 2026","55750","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_full_flow","One full orchestrated test: send email → fetch → reset → verify → restore"
"failed","Mon Jun 15 01:10:52 UTC 2026","Mon Jun 15 01:10:52 UTC 2026","0","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_page_ui_elements","Check that Timesheet page elements are visible after login."
"broken","Mon Jun 15 01:10:22 UTC 2026","Mon Jun 15 01:10:52 UTC 2026","30003","dream_platform.ui.tests","test_user_page","","","","test_password_change_and_login","Test password change workflow and login validation with old/new passwords."
"passed","Mon Jun 15 01:08:12 UTC 2026","Mon Jun 15 01:08:13 UTC 2026","292","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username","Login should fail with wrong username."
"broken","Mon Jun 15 01:10:57 UTC 2026","Mon Jun 15 01:11:27 UTC 2026","30001","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_add_and_submit_workflow","Test adding a timesheet entry and submitting the timesheet."
"failed","Mon Jun 15 01:07:37 UTC 2026","Mon Jun 15 01:07:42 UTC 2026","5178","dream_platform.ui.tests","test_login","","","","test_admin_valid_login","Admin can log in successfully and see expected elements."
"passed","Mon Jun 15 01:07:36 UTC 2026","Mon Jun 15 01:07:37 UTC 2026","553","dream_platform.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Mon Jun 15 01:09:52 UTC 2026","Mon Jun 15 01:10:22 UTC 2026","30002","dream_platform.ui.tests","test_user_page","","","","test_change_password_modal_elements","Check that change password modal elements are visible."
"broken","Mon Jun 15 01:08:18 UTC 2026","Mon Jun 15 01:08:48 UTC 2026","30002","dream_platform.ui.tests","test_login","","","","test_cancel_logout","Test canceling logout keeps user on current page."
"failed","Mon Jun 15 01:08:13 UTC 2026","Mon Jun 15 01:08:18 UTC 2026","5141","dream_platform.ui.tests","test_login","","","","test_user_valid_login","User can log in successfully and see expected elements."
"passed","Mon Jun 15 01:08:48 UTC 2026","Mon Jun 15 01:08:50 UTC 2026","1278","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_page_elements",""
"passed","Mon Jun 15 01:08:50 UTC 2026","Mon Jun 15 01:08:51 UTC 2026","1053","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_send_email_ui",""
"broken","Mon Jun 15 01:07:42 UTC 2026","Mon Jun 15 01:08:12 UTC 2026","30003","dream_platform.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"passed","Mon Jun 15 01:08:13 UTC 2026","Mon Jun 15 01:08:13 UTC 2026","280","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username_and_password","Login should fail with wrong username and password."
"failed","Mon Jun 15 01:09:46 UTC 2026","Mon Jun 15 01:09:46 UTC 2026","0","dream_platform.ui.tests","test_user_page","","","","test_user_profile_page_visible","Check that user profile page elements are visible after login."
"passed","Mon Jun 15 01:08:13 UTC 2026","Mon Jun 15 01:08:13 UTC 2026","234","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_password","Login should fail with wrong password."
