"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 08 00:39:31 UTC 2026","Wed Jul 08 00:39:32 UTC 2026","648","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username_and_password","Login should fail with wrong username and password."
"failed","Wed Jul 08 00:40:10 UTC 2026","Wed Jul 08 00:41:06 UTC 2026","56228","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_full_flow","One full orchestrated test: send email → fetch → reset → verify → restore"
"passed","Wed Jul 08 00:39:30 UTC 2026","Wed Jul 08 00:39:31 UTC 2026","641","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username","Login should fail with wrong username."
"failed","Wed Jul 08 00:38:54 UTC 2026","Wed Jul 08 00:39:00 UTC 2026","5584","dream_platform.ui.tests","test_login","","","","test_admin_valid_login","Admin can log in successfully and see expected elements."
"broken","Wed Jul 08 00:39:00 UTC 2026","Wed Jul 08 00:39:30 UTC 2026","30002","dream_platform.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Wed Jul 08 00:41:42 UTC 2026","Wed Jul 08 00:42:12 UTC 2026","30002","dream_platform.ui.tests","test_user_page","","","","test_password_change_and_login","Test password change workflow and login validation with old/new passwords."
"passed","Wed Jul 08 00:39:31 UTC 2026","Wed Jul 08 00:39:31 UTC 2026","349","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_password","Login should fail with wrong password."
"failed","Wed Jul 08 00:42:12 UTC 2026","Wed Jul 08 00:42:12 UTC 2026","0","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_page_ui_elements","Check that Timesheet page elements are visible after login."
"broken","Wed Jul 08 00:42:18 UTC 2026","Wed Jul 08 00:42:48 UTC 2026","30003","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_add_and_submit_workflow","Test adding a timesheet entry and submitting the timesheet."
"passed","Wed Jul 08 00:40:09 UTC 2026","Wed Jul 08 00:40:10 UTC 2026","1054","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_send_email_ui",""
"broken","Wed Jul 08 00:41:12 UTC 2026","Wed Jul 08 00:41:42 UTC 2026","30001","dream_platform.ui.tests","test_user_page","","","","test_change_password_modal_elements","Check that change password modal elements are visible."
"passed","Wed Jul 08 00:40:07 UTC 2026","Wed Jul 08 00:40:09 UTC 2026","1884","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_page_elements",""
"broken","Wed Jul 08 00:39:37 UTC 2026","Wed Jul 08 00:40:07 UTC 2026","30001","dream_platform.ui.tests","test_login","","","","test_cancel_logout","Test canceling logout keeps user on current page."
"passed","Wed Jul 08 00:38:52 UTC 2026","Wed Jul 08 00:38:54 UTC 2026","1744","dream_platform.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"failed","Wed Jul 08 00:39:32 UTC 2026","Wed Jul 08 00:39:37 UTC 2026","5240","dream_platform.ui.tests","test_login","","","","test_user_valid_login","User can log in successfully and see expected elements."
"failed","Wed Jul 08 00:41:06 UTC 2026","Wed Jul 08 00:41:06 UTC 2026","0","dream_platform.ui.tests","test_user_page","","","","test_user_profile_page_visible","Check that user profile page elements are visible after login."
