"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 13 00:57:02 UTC 2026","Wed May 13 00:57:32 UTC 2026","30001","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_add_and_submit_workflow","Test adding a timesheet entry and submitting the timesheet."
"broken","Wed May 13 00:53:46 UTC 2026","Wed May 13 00:54:16 UTC 2026","30002","dream_platform.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"passed","Wed May 13 00:54:16 UTC 2026","Wed May 13 00:54:17 UTC 2026","265","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_password","Login should fail with wrong password."
"broken","Wed May 13 00:56:27 UTC 2026","Wed May 13 00:56:57 UTC 2026","30002","dream_platform.ui.tests","test_user_page","","","","test_password_change_and_login","Test password change workflow and login validation with old/new passwords."
"failed","Wed May 13 00:53:41 UTC 2026","Wed May 13 00:53:46 UTC 2026","5204","dream_platform.ui.tests","test_login","","","","test_admin_valid_login","Admin can log in successfully and see expected elements."
"failed","Wed May 13 00:54:54 UTC 2026","Wed May 13 00:55:52 UTC 2026","57279","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_full_flow","One full orchestrated test: send email → fetch → reset → verify → restore"
"failed","Wed May 13 00:54:17 UTC 2026","Wed May 13 00:54:22 UTC 2026","5142","dream_platform.ui.tests","test_login","","","","test_user_valid_login","User can log in successfully and see expected elements."
"passed","Wed May 13 00:53:40 UTC 2026","Wed May 13 00:53:41 UTC 2026","825","dream_platform.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Wed May 13 00:55:57 UTC 2026","Wed May 13 00:56:27 UTC 2026","30002","dream_platform.ui.tests","test_user_page","","","","test_change_password_modal_elements","Check that change password modal elements are visible."
"broken","Wed May 13 00:54:22 UTC 2026","Wed May 13 00:54:52 UTC 2026","30002","dream_platform.ui.tests","test_login","","","","test_cancel_logout","Test canceling logout keeps user on current page."
"passed","Wed May 13 00:54:17 UTC 2026","Wed May 13 00:54:17 UTC 2026","246","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username_and_password","Login should fail with wrong username and password."
"passed","Wed May 13 00:54:52 UTC 2026","Wed May 13 00:54:53 UTC 2026","1297","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_page_elements",""
"failed","Wed May 13 00:55:52 UTC 2026","Wed May 13 00:55:52 UTC 2026","0","dream_platform.ui.tests","test_user_page","","","","test_user_profile_page_visible","Check that user profile page elements are visible after login."
"passed","Wed May 13 00:54:53 UTC 2026","Wed May 13 00:54:54 UTC 2026","1055","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_send_email_ui",""
"passed","Wed May 13 00:54:16 UTC 2026","Wed May 13 00:54:16 UTC 2026","307","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username","Login should fail with wrong username."
"failed","Wed May 13 00:56:57 UTC 2026","Wed May 13 00:56:57 UTC 2026","0","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_page_ui_elements","Check that Timesheet page elements are visible after login."
