"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 30 00:53:44 UTC 2026","Tue Jun 30 00:53:45 UTC 2026","793","dream_platform.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"failed","Tue Jun 30 00:53:45 UTC 2026","Tue Jun 30 00:53:50 UTC 2026","5181","dream_platform.ui.tests","test_login","","","","test_admin_valid_login","Admin can log in successfully and see expected elements."
"broken","Tue Jun 30 00:57:05 UTC 2026","Tue Jun 30 00:57:35 UTC 2026","30002","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_add_and_submit_workflow","Test adding a timesheet entry and submitting the timesheet."
"broken","Tue Jun 30 00:53:50 UTC 2026","Tue Jun 30 00:54:20 UTC 2026","30003","dream_platform.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"passed","Tue Jun 30 00:54:21 UTC 2026","Tue Jun 30 00:54:21 UTC 2026","266","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_password","Login should fail with wrong password."
"passed","Tue Jun 30 00:54:58 UTC 2026","Tue Jun 30 00:54:59 UTC 2026","1054","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_send_email_ui",""
"broken","Tue Jun 30 00:56:30 UTC 2026","Tue Jun 30 00:57:00 UTC 2026","30003","dream_platform.ui.tests","test_user_page","","","","test_password_change_and_login","Test password change workflow and login validation with old/new passwords."
"passed","Tue Jun 30 00:54:56 UTC 2026","Tue Jun 30 00:54:58 UTC 2026","1273","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_page_elements",""
"broken","Tue Jun 30 00:54:26 UTC 2026","Tue Jun 30 00:54:56 UTC 2026","30002","dream_platform.ui.tests","test_login","","","","test_cancel_logout","Test canceling logout keeps user on current page."
"failed","Tue Jun 30 00:57:00 UTC 2026","Tue Jun 30 00:57:00 UTC 2026","0","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_page_ui_elements","Check that Timesheet page elements are visible after login."
"failed","Tue Jun 30 00:54:59 UTC 2026","Tue Jun 30 00:55:55 UTC 2026","56028","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_full_flow","One full orchestrated test: send email → fetch → reset → verify → restore"
"passed","Tue Jun 30 00:54:21 UTC 2026","Tue Jun 30 00:54:21 UTC 2026","263","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username_and_password","Login should fail with wrong username and password."
"failed","Tue Jun 30 00:54:21 UTC 2026","Tue Jun 30 00:54:26 UTC 2026","5144","dream_platform.ui.tests","test_login","","","","test_user_valid_login","User can log in successfully and see expected elements."
"failed","Tue Jun 30 00:55:55 UTC 2026","Tue Jun 30 00:55:55 UTC 2026","0","dream_platform.ui.tests","test_user_page","","","","test_user_profile_page_visible","Check that user profile page elements are visible after login."
"passed","Tue Jun 30 00:54:20 UTC 2026","Tue Jun 30 00:54:21 UTC 2026","282","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username","Login should fail with wrong username."
"broken","Tue Jun 30 00:56:00 UTC 2026","Tue Jun 30 00:56:30 UTC 2026","30002","dream_platform.ui.tests","test_user_page","","","","test_change_password_modal_elements","Check that change password modal elements are visible."
