"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 22 00:58:18 UTC 2026","Fri May 22 00:58:18 UTC 2026","0","dream_platform.ui.tests","test_user_page","","","","test_user_profile_page_visible","Check that user profile page elements are visible after login."
"failed","Fri May 22 00:57:22 UTC 2026","Fri May 22 00:58:18 UTC 2026","56055","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_full_flow","One full orchestrated test: send email → fetch → reset → verify → restore"
"passed","Fri May 22 00:56:44 UTC 2026","Fri May 22 00:56:44 UTC 2026","280","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_password","Login should fail with wrong password."
"failed","Fri May 22 00:56:44 UTC 2026","Fri May 22 00:56:49 UTC 2026","5175","dream_platform.ui.tests","test_login","","","","test_user_valid_login","User can log in successfully and see expected elements."
"broken","Fri May 22 00:58:53 UTC 2026","Fri May 22 00:59:23 UTC 2026","30002","dream_platform.ui.tests","test_user_page","","","","test_password_change_and_login","Test password change workflow and login validation with old/new passwords."
"broken","Fri May 22 00:56:13 UTC 2026","Fri May 22 00:56:43 UTC 2026","30003","dream_platform.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Fri May 22 00:59:29 UTC 2026","Fri May 22 00:59:59 UTC 2026","30003","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_add_and_submit_workflow","Test adding a timesheet entry and submitting the timesheet."
"failed","Fri May 22 00:56:08 UTC 2026","Fri May 22 00:56:13 UTC 2026","5200","dream_platform.ui.tests","test_login","","","","test_admin_valid_login","Admin can log in successfully and see expected elements."
"failed","Fri May 22 00:59:24 UTC 2026","Fri May 22 00:59:24 UTC 2026","0","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_page_ui_elements","Check that Timesheet page elements are visible after login."
"broken","Fri May 22 00:58:23 UTC 2026","Fri May 22 00:58:53 UTC 2026","30001","dream_platform.ui.tests","test_user_page","","","","test_change_password_modal_elements","Check that change password modal elements are visible."
"passed","Fri May 22 00:56:43 UTC 2026","Fri May 22 00:56:44 UTC 2026","282","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username","Login should fail with wrong username."
"passed","Fri May 22 00:57:21 UTC 2026","Fri May 22 00:57:22 UTC 2026","1055","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_send_email_ui",""
"passed","Fri May 22 00:57:19 UTC 2026","Fri May 22 00:57:21 UTC 2026","1513","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_page_elements",""
"passed","Fri May 22 00:56:07 UTC 2026","Fri May 22 00:56:08 UTC 2026","628","dream_platform.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"passed","Fri May 22 00:56:44 UTC 2026","Fri May 22 00:56:44 UTC 2026","232","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username_and_password","Login should fail with wrong username and password."
"broken","Fri May 22 00:56:49 UTC 2026","Fri May 22 00:57:19 UTC 2026","30003","dream_platform.ui.tests","test_login","","","","test_cancel_logout","Test canceling logout keeps user on current page."
