"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 02 00:57:35 UTC 2026","Thu Jul 02 00:57:36 UTC 2026","595","dream_platform.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"passed","Thu Jul 02 00:58:49 UTC 2026","Thu Jul 02 00:58:50 UTC 2026","1055","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_send_email_ui",""
"broken","Thu Jul 02 00:59:51 UTC 2026","Thu Jul 02 01:00:21 UTC 2026","30002","dream_platform.ui.tests","test_user_page","","","","test_change_password_modal_elements","Check that change password modal elements are visible."
"broken","Thu Jul 02 00:57:41 UTC 2026","Thu Jul 02 00:58:11 UTC 2026","30003","dream_platform.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Thu Jul 02 01:00:56 UTC 2026","Thu Jul 02 01:01:26 UTC 2026","30002","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_add_and_submit_workflow","Test adding a timesheet entry and submitting the timesheet."
"broken","Thu Jul 02 01:00:21 UTC 2026","Thu Jul 02 01:00:51 UTC 2026","30001","dream_platform.ui.tests","test_user_page","","","","test_password_change_and_login","Test password change workflow and login validation with old/new passwords."
"failed","Thu Jul 02 00:58:12 UTC 2026","Thu Jul 02 00:58:17 UTC 2026","5193","dream_platform.ui.tests","test_login","","","","test_user_valid_login","User can log in successfully and see expected elements."
"broken","Thu Jul 02 00:58:17 UTC 2026","Thu Jul 02 00:58:47 UTC 2026","30002","dream_platform.ui.tests","test_login","","","","test_cancel_logout","Test canceling logout keeps user on current page."
"passed","Thu Jul 02 00:58:12 UTC 2026","Thu Jul 02 00:58:12 UTC 2026","282","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_password","Login should fail with wrong password."
"failed","Thu Jul 02 00:58:50 UTC 2026","Thu Jul 02 00:59:46 UTC 2026","55820","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_full_flow","One full orchestrated test: send email → fetch → reset → verify → restore"
"failed","Thu Jul 02 01:00:51 UTC 2026","Thu Jul 02 01:00:51 UTC 2026","0","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_page_ui_elements","Check that Timesheet page elements are visible after login."
"passed","Thu Jul 02 00:58:12 UTC 2026","Thu Jul 02 00:58:12 UTC 2026","247","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username_and_password","Login should fail with wrong username and password."
"passed","Thu Jul 02 00:58:48 UTC 2026","Thu Jul 02 00:58:49 UTC 2026","1272","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_page_elements",""
"failed","Thu Jul 02 00:57:36 UTC 2026","Thu Jul 02 00:57:41 UTC 2026","5164","dream_platform.ui.tests","test_login","","","","test_admin_valid_login","Admin can log in successfully and see expected elements."
"failed","Thu Jul 02 00:59:46 UTC 2026","Thu Jul 02 00:59:46 UTC 2026","0","dream_platform.ui.tests","test_user_page","","","","test_user_profile_page_visible","Check that user profile page elements are visible after login."
"passed","Thu Jul 02 00:58:11 UTC 2026","Thu Jul 02 00:58:12 UTC 2026","301","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username","Login should fail with wrong username."
