"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 02 00:33:18 UTC 2026","Thu Apr 02 00:33:18 UTC 2026","515","dream_platform.ui.tests","test_login","","","","test_admin_valid_login","Admin can log in successfully and see expected elements."
"passed","Thu Apr 02 00:33:18 UTC 2026","Thu Apr 02 00:33:19 UTC 2026","1184","dream_platform.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"failed","Thu Apr 02 00:33:58 UTC 2026","Thu Apr 02 00:34:54 UTC 2026","55854","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_full_flow","One full orchestrated test: send email → fetch → reset → verify → restore"
"failed","Thu Apr 02 00:35:59 UTC 2026","Thu Apr 02 00:35:59 UTC 2026","0","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_page_ui_elements","Check that Timesheet page elements are visible after login."
"broken","Thu Apr 02 00:36:04 UTC 2026","Thu Apr 02 00:36:34 UTC 2026","30002","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_add_and_submit_workflow","Test adding a timesheet entry and submitting the timesheet."
"passed","Thu Apr 02 00:33:19 UTC 2026","Thu Apr 02 00:33:20 UTC 2026","212","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username","Login should fail with wrong username."
"passed","Thu Apr 02 00:33:17 UTC 2026","Thu Apr 02 00:33:18 UTC 2026","930","dream_platform.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"passed","Thu Apr 02 00:33:56 UTC 2026","Thu Apr 02 00:33:57 UTC 2026","1194","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_page_elements",""
"broken","Thu Apr 02 00:35:29 UTC 2026","Thu Apr 02 00:35:59 UTC 2026","30002","dream_platform.ui.tests","test_user_page","","","","test_password_change_and_login","Test password change workflow and login validation with old/new passwords."
"failed","Thu Apr 02 00:34:54 UTC 2026","Thu Apr 02 00:34:54 UTC 2026","0","dream_platform.ui.tests","test_user_page","","","","test_user_profile_page_visible","Check that user profile page elements are visible after login."
"failed","Thu Apr 02 00:33:20 UTC 2026","Thu Apr 02 00:33:25 UTC 2026","5125","dream_platform.ui.tests","test_login","","","","test_user_valid_login","User can log in successfully and see expected elements."
"passed","Thu Apr 02 00:33:57 UTC 2026","Thu Apr 02 00:33:58 UTC 2026","1047","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_send_email_ui",""
"broken","Thu Apr 02 00:33:25 UTC 2026","Thu Apr 02 00:33:55 UTC 2026","30002","dream_platform.ui.tests","test_login","","","","test_cancel_logout","Test canceling logout keeps user on current page."
"broken","Thu Apr 02 00:34:59 UTC 2026","Thu Apr 02 00:35:29 UTC 2026","30001","dream_platform.ui.tests","test_user_page","","","","test_change_password_modal_elements","Check that change password modal elements are visible."
"passed","Thu Apr 02 00:33:20 UTC 2026","Thu Apr 02 00:33:20 UTC 2026","216","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_password","Login should fail with wrong password."
"passed","Thu Apr 02 00:33:20 UTC 2026","Thu Apr 02 00:33:20 UTC 2026","463","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username_and_password","Login should fail with wrong username and password."
